ZIP_CODE,CITY,STATE,COUNTY,DISTANCE_MILES
19390,West Grove,PA,Chester,0.0
19348,Kennett Square,PA,Chester,4.2
19375,West Chester,PA,Chester,8.5
19382,West Chester,PA,Chester,8.7
19063,Media,PA,Delaware,12.8
19342,Glen Mills,PA,Delaware,11.2
19373,Wayne,PA,Delaware,18.4
19335,Downingtown,PA,Chester,15.3
19380,Westtown,PA,Chester,6.8
19311,Avondale,PA,Chester,3.1
19352,Landenberg,PA,Chester,5.7
19346,Hockessin,DE,New Castle,7.9
19707,Hockessin,DE,New Castle,8.1
19720,New Castle,DE,New Castle,18.2
19702,Newark,DE,New Castle,15.4
19711,Newark,DE,New Castle,16.8
19713,Newark,DE,New Castle,17.1
19801,Wilmington,DE,New Castle,20.3
19802,Wilmington,DE,New Castle,19.8
19803,Wilmington,DE,New Castle,18.9
19804,Wilmington,DE,New Castle,21.2
19805,Wilmington,DE,New Castle,22.1
19806,Wilmington,DE,New Castle,19.4
19807,Wilmington,DE,New Castle,18.6
19808,Wilmington,DE,New Castle,17.9
19809,Wilmington,DE,New Castle,16.8
19810,Wilmington,DE,New Castle,15.2
19363,Parkesburg,PA,Chester,12.6
19365,Paoli,PA,Chester,19.4
19320,Coatesville,PA,Chester,18.9
19344,Honey Brook,PA,Chester,22.1
19355,Malvern,PA,Chester,16.7
19312,Berwyn,PA,Chester,20.8
19333,Devon,PA,Chester,21.4
19341,Exton,PA,Chester,13.2
19317,Chadds Ford,PA,Delaware,8.7
19331,Concordville,PA,Delaware,9.4
19014,Aston,PA,Delaware,15.6
19022,Brookhaven,PA,Delaware,17.8
19015,Boothwyn,PA,Delaware,13.9
19013,Aston,PA,Delaware,15.2
19052,Folsom,PA,Delaware,18.3
19064,Springfield,PA,Delaware,14.7
19081,Swarthmore,PA,Delaware,16.9
19086,Wallingford,PA,Delaware,12.4
19094,Woodlyn,PA,Delaware,16.1
19061,Marcus Hook,PA,Delaware,19.7
19050,Essington,PA,Delaware,24.2
19029,Linwood,PA,Delaware,18.9
19078,Ridley Park,PA,Delaware,19.4
19079,Ridley Park,PA,Delaware,19.6
19032,Haverford,PA,Delaware,15.8
19041,Havertown,PA,Delaware,16.4
19083,Havertown,PA,Delaware,16.7
19096,Wynnewood,PA,Montgomery,19.8
